40,0,1
56,0,1
72,0,1
88,0,1
104,0,1
120,0,1
136,0,1
152,0,1
168,0,1
184,0,1
100,261.224620483099,2
116,301.224620483099,2
132,341.224620483099,2
148,381.224620483099,2
164,421.224620483099,2
180,461.2246204831,2
196,501.2246204831,2
106,276.214775487666,4
122,316.214775487667,4
138,356.214775487667,4
154,396.214775487667,4
170,436.214775487667,4
186,476.214775487667,4
101,263.711654803203,8
117,303.711654803203,8
133,343.711654803203,8
149,383.711654803203,8
165,423.711654803203,8
181,463.711654803203,8
197,503.711654803203,8
106.5,277.460401659131,16
122.5,317.460401659131,16
138.5,357.460401659131,16
154.5,397.460401659131,16
170.5,437.460401659131,16
186.5,477.460401659131,16
